Symbol,IssuerName,Sector,Industry,IPO
W,Wayfair Inc.,Consumer Services,Catalog/Specialty Distribution,2014
WFT,Weatherford International plc,Energy,Metal Fabrications,n/a
WBS,Webster Financial Corporation,Finance,Major Banks,n/a
WBS^E,Webster Financial Corporation,n/a,n/a,n/a
WEC,"WEC Energy Group, Inc.",Public Utilities,Power Generation,n/a
WTW,Weight Watchers International Inc,Consumer Services,Other Consumer Services,2001
WRI,Weingarten Realty Investors,Consumer Services,Real Estate Investment Trusts,n/a
WMK,"Weis Markets, Inc.",Consumer Services,Food Chains,n/a
WBT,"Welbilt, Inc.",Technology,Industrial Machinery/Components,2016
WCG,"WellCare Health Plans, Inc.",Health Care,Medical Specialities,2004
WFC,Wells Fargo & Company,Finance,Major Banks,n/a
WFC.WS,Wells Fargo & Company,n/a,n/a,n/a
WFC^J,Wells Fargo & Company,n/a,n/a,n/a
WFC^L,Wells Fargo & Company,n/a,n/a,n/a
WFC^N,Wells Fargo & Company,n/a,n/a,n/a
WFC^O,Wells Fargo & Company,n/a,n/a,n/a
WFC^P,Wells Fargo & Company,n/a,n/a,n/a
WFC^Q,Wells Fargo & Company,n/a,n/a,n/a
WFC^R,Wells Fargo & Company,n/a,n/a,n/a
WFC^T,Wells Fargo & Company,n/a,n/a,n/a
WFC^V,Wells Fargo & Company,n/a,n/a,n/a
WFC^W,Wells Fargo & Company,n/a,n/a,n/a
WFC^X,Wells Fargo & Company,n/a,n/a,n/a
WFC^Y,Wells Fargo & Company,n/a,n/a,n/a
