Symbol,IssuerName,Sector,Industry,IPO
CHH,CHURCHILL CHINA PLC,Personal & Household Goods,Consumer Goods,22/04/2003
CINE,CINEWORLD GROUP PLC,Travel & Leisure,Consumer Services,02/05/2007
CIR,CIRCASSIA PHARMACEUTICALS PLC,Healthcare,Health Care,18/03/2014
CRC,CIRCLE PROPERTY PLC,Real Estate,Financials,16/02/2016
CITY,CITYFIBRE INFRASTRUCTURE HLDGS PLC,Telecommunications,Telecommunications,17/01/2014
CMHY,CITY MERCHANTS HIGH YIELD TRUST LTD,Financial Services,Financials,02/04/2012
CYN,CITY NATURAL RES HIGH YIELD TST PLC,Financial Services,Financials,18/12/2007
CIN,CITY OF LONDON GROUP PLC,Financial Services,Financials,14/09/1999
CLIG,CITY OF LONDON INVESTMENT GROUP PLC,Financial Services,Financials,19/12/2006
BA47,CITY OF LONDON INVESTMENT TRUST PLC,Financial Services,Financials,28/06/2002
BA69,CITY OF LONDON INVESTMENT TRUST PLC,Financial Services,Financials,28/06/2002
CTY,CITY OF LONDON INVESTMENT TRUST PLC,Financial Services,Financials,31/10/2003
CTYA,CITY OF LONDON INVESTMENT TRUST PLC,Financial Services,Financials,28/06/2002
CSH,CIVITAS SOCIAL HOUSING PLC,Real Estate,Financials,18/11/2016
CTO,CLARKE(T.) PLC,Construction & Materials,Industrials,02/12/2005
CKN,CLARKSON PLC,Industrial Goods & Services,Industrials,08/07/2005
CLP,CLEAR LEISURE PLC,Financial Services,Financials,16/06/2010
CLST,CLEARSTAR INC.,Technology,Technology,11/07/2014
CLSU,CLEARSTAR INC.,Technology,Technology,14/07/2015
CLIN,CLINIGEN GROUP PLC,Healthcare,Health Care,25/09/2012
CLG,CLIPPER LOGISTICS PLC,Industrial Goods & Services,Industrials,04/06/2014
CLON,CLONTARF ENERGY PLC,Oil & Gas,Oil & Gas,20/09/2006
CBG,CLOSE BROS GROUP PLC,Financial Services,Financials,31/10/2003
CBUY,CLOUDBUY PLC,Technology,Technology,28/11/2013
CALL,CLOUDCALL GROUP PLC,Technology,Technology,26/09/2012
CLI,CLS HOLDINGS PLC,Real Estate,Financials,08/05/2017
CLNR,CLUFF NATURAL RESOURCES PLC,Financial Services,Financials,22/05/2012
CMCX,CMC MARKETS PLC,Financial Services,Financials,10/02/2016
CML,CML MICROSYSTEMS PLC,Technology,Technology,14/09/1999
CZA,COAL OF AFRICA LIMITED,Basic Resources,Basic Materials,17/06/2008
COA,COATS GROUP PLC,Industrial Goods & Services,Industrials,06/07/2011
85GU,COBHAM PLC,Industrial Goods & Services,Industrials,28/06/2002
COB,COBHAM PLC,Industrial Goods & Services,Industrials,11/07/2005
CCH,COCA-COLA HBC AG,Food & Beverage,Consumer Goods,29/04/2013
CGP,COGENPOWER PLC,Oil & Gas,Oil & Gas,12/02/2016
CHRT,COHORT PLC,Industrial Goods & Services,Industrials,16/12/2008
CFX,COLEFAX GROUP PLC,Personal & Household Goods,Consumer Goods,24/03/2005
COS,COLLAGEN SOLUTIONS PLC,Healthcare,Health Care,05/04/2013
CERP,COLUMBUS ENERGY RESOURCES PLC,Oil & Gas,Oil & Gas,08/03/2017
CZB,COMMERZBANK AG,Banks,Financials,24/04/2013
CMS,COMMUNISIS PLC,Industrial Goods & Services,Industrials,08/07/2005
COD,COMPAGNIE DE ST-GOBAIN,Construction & Materials,Industrials,07/11/2007
CPG,COMPASS GROUP PLC,Travel & Leisure,Consumer Services,27/06/2017
COM,COMPTOIR GROUP PLC,Travel & Leisure,Consumer Services,21/06/2016
CCC,COMPUTACENTER PLC,Technology,Technology,20/02/2015
CPT,CONCEPTA PLC,Healthcare,Health Care,26/07/2016
CHA,CONCHA PLC,Personal & Household Goods,Consumer Goods,08/04/2013
CNC,CONCURRENT TECHNOLOGIES PLC,Technology,Technology,23/09/2004
CNR,CONDOR GOLD PLC,Basic Resources,Basic Materials,26/06/2012
CNCT,CONNECT GROUP PLC,Industrial Goods & Services,Industrials,12/09/2006
CON,CONNEMARA MINING COMPANY PLC,Basic Resources,Basic Materials,31/07/2007
CGNR,CONROY GOLD & NATURAL RESOURCES PLC,Basic Resources,Basic Materials,15/12/2015
CSRT,CONSORT MEDICAL PLC,Healthcare,Health Care,08/07/2005
CTEC,CONVATEC GROUP PLC,Healthcare,Health Care,29/10/2016
CVR,CONVIVIALITY PLC,Retail,Consumer Services,31/07/2013
CIC,CONYGAR INVESTMENT COMPANY PLC,Real Estate,Financials,01/02/2007
CRU,CORAL PRODUCTS PLC,Industrial Goods & Services,Industrials,06/09/2011
CNS,CORERO NETWORK SECURITY PLC,Technology,Technology,30/06/2009
COR,CORETX HOLDINGS PLC,Technology,Technology,30/06/2010
COST,COSTAIN GROUP PLC,Construction & Materials,Industrials,10/05/2010
CSP,COUNTRYSIDE PROPERTIES PLC,Personal & Household Goods,Consumer Goods,17/02/2016
CWD,COUNTRYWIDE PLC,Real Estate,Financials,20/03/2013
CPS,CPL RESOURCES PLC,Industrial Goods & Services,Industrials,02/06/2000
CPP,CPPGROUP PLC,Industrial Goods & Services,Industrials,19/03/2010
NCYF,CQS NEW CITY HIGH YIELD FUND LD,Financial Services,Financials,07/03/2007
CRW,CRANEWARE PLC,Technology,Technology,13/09/2007
CWK,CRANSWICK PLC,Food & Beverage,Consumer Goods,08/07/2005
CRV,CRAVEN HOUSE CAPITAL PLC,Financial Services,Financials,04/08/2016
CRAW,CRAWSHAW GROUP PLC,Retail,Consumer Services,11/04/2008
CRL,CREIGHTONS PLC,Personal & Household Goods,Consumer Goods,16/03/2006
CREO,CREO MEDICAL GROUP PLC,Healthcare,Health Care,09/12/2016
CRST,CREST NICHOLSON HOLDINGS PLC,Personal & Household Goods,Consumer Goods,16/02/2013
97GM,CRH PLC,Construction & Materials,Industrials,28/06/2002
CRH,CRH PLC,Construction & Materials,Industrials,08/07/2005
TIDE,CRIMSON TIDE PLC,Technology,Technology,22/08/2006
49GP,CRODA INTERNATIONAL PLC,Chemicals,Basic Materials,28/06/2002
50GP,CRODA INTERNATIONAL PLC,Chemicals,Basic Materials,28/06/2002
CRDA,CRODA INTERNATIONAL PLC,Chemicals,Basic Materials,09/05/2016
CSSG,CROMA SECURITY SOLUTIONS GROUP PLC,Industrial Goods & Services,Industrials,27/03/2012
CRON,CRONIN GROUP PLC,Chemicals,Basic Materials,31/12/2007
CRPR,CROPPER(JAMES) PLC,Basic Resources,Basic Materials,14/09/1999
CROS,CROSSRIDER PLC,Media,Consumer Services,30/09/2014
CRWN,CROWN PLACE VCT PLC,Financial Services,Financials,13/01/2006
CRS,CRYSTAL AMBER FUND LD,Financial Services,Financials,17/06/2008
CSFG,CSF GROUP PLC,Technology,Technology,22/03/2010
CBP,CURTIS BANKS GROUP PLC ,Financial Services,Financials,07/05/2015
CREI,CUSTODIAN REIT PLC,Real Estate,Financials,26/03/2014
CCPE,CVC CREDIT PARTNERS EUROPEAN OPPORT,Financial Services,Financials,25/06/2013
CCPG,CVC CREDIT PARTNERS EUROPEAN OPPORT,Financial Services,Financials,25/06/2013
CVSG,CVS GROUP PLC,Retail,Consumer Services,18/03/2008
CYAN,CYANCONNODE HOLDINGS PLC,Technology,Technology,07/12/2005
CYBG,CYBG PLC,Banks,Financials,06/02/2016
D4T4,D4T4 SOLUTIONS PLC,Technology,Technology,14/11/2000
DJAN,DAEJAN HLDGS PLC,Real Estate,Financials,18/12/2006
DMGT,DAILY MAIL & GENERAL TRUST PLC,Media,Consumer Services,19/03/2007
DCG,DAIRY CREST GROUP PLC,Food & Beverage,Consumer Goods,31/10/2003
DFI,DAIRY FARM INTERNATIONAL HLDGS LD,Retail,Consumer Services,27/09/2004
DFIB,DAIRY FARM INTERNATIONAL HLDGS LD,Retail,Consumer Services,03/11/2004
DFIJ,DAIRY FARM INTERNATIONAL HLDGS LD,Retail,Consumer Services,03/11/2004
DAL,DALATA HOTEL GROUP PLC,Travel & Leisure,Consumer Services,19/03/2014
DALR,DALRADIAN RESOURCES INC.,Basic Resources,Basic Materials,03/12/2014
DIL2,DAMILLE INVESTMENTS II LD,Financial Services,Financials,16/06/2017
DTG,DART GROUP PLC,Travel & Leisure,Consumer Services,04/08/2006
DAT,DATANG INTL POWER GEN CO LD,Utilities,Utilities,17/10/2007
DTC,DATATEC LD,Technology,Technology,20/10/2006
DVT,DAVICTUS PLC,Financial Services,Financials,29/01/2016
DCC,DCC PLC,Industrial Goods & Services,Industrials,08/07/2005
DCD,DCD MEDIA PLC,Media,Consumer Services,01/07/2013
DEB,DEBENHAMS PLC,Retail,Consumer Services,19/06/2006
DPH,DECHRA PHARMACEUTICALS PLC,Healthcare,Health Care,02/12/2005
DFX,DEFENX PLC,Technology,Technology,03/12/2015
DKL,DEKELOIL PUBLIC LIMITED,Food & Beverage,Consumer Goods,21/06/2016
DLAR,DE LA RUE PLC,Industrial Goods & Services,Industrials,17/11/2008
DEMG,DELTEX MEDICAL GROUP PLC,Healthcare,Health Care,25/03/2004
DERR,DERRISTON CAPITAL PLC,Financial Services,Financials,29/12/2016
DLN,DERWENT LONDON PLC,Real Estate,Financials,31/10/2003
DVO,DEVRO PLC,Food & Beverage,Consumer Goods,08/07/2005
DWHA,DEWHURST PLC,Industrial Goods & Services,Industrials,22/02/2006
DWHT,DEWHURST PLC,Industrial Goods & Services,Industrials,22/02/2006
DFS,DFS FURNITURE PLC,Retail,Consumer Services,11/03/2015
DGE,DIAGEO PLC,Food & Beverage,Consumer Goods,19/03/2001
DIA,DIALIGHT PLC,Industrial Goods & Services,Industrials,18/12/2006
DGB,DIGITAL BARRIERS PLC,Industrial Goods & Services,Industrials,04/03/2010
DTY,DIGNITY PLC,Retail,Consumer Services,03/11/2014
DSG,DILLISTONE GROUP PLC,Technology,Technology,24/04/2007
DPLM,DIPLOMA PLC,Industrial Goods & Services,Industrials,08/07/2005
DCTA,DIRECTA PLUS PLC,Chemicals,Basic Materials,27/05/2016
DLG,DIRECT LINE INSURANCE GROUP PLC,Insurance,Financials,30/06/2015
DIS,DISTIL PLC,Food & Beverage,Consumer Goods,20/01/2004
DNL,DIURNAL GROUP PLC,Healthcare,Health Care,24/12/2015
DIVI,DIVERSE INCOME TRUST (THE) PLC,Financial Services,Financials,28/04/2011
DGOC,DIVERSIFIED GAS & OIL PLC,Oil & Gas,Oil & Gas,03/02/2017
DC.,DIXONS CARPHONE PLC,Retail,Consumer Services,24/03/2010
DODS,DODS GROUP PLC,Media,Consumer Services,31/07/2003
DCI,DOLPHIN CAPITAL INVESTORS LD,Real Estate,Financials,08/12/2005
DOM,DOMINO'S PIZZA GROUP PLC,Travel & Leisure,Consumer Services,27/06/2016
DNA,DORIC NIMROD AIR ONE LD,Financial Services,Financials,13/12/2010
