MarketSymbol,Symbol,IssuerName,Sector,Industry,IPO,Market
NASDAQ:PIH,PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014,NASDAQ
NASDAQ:TURN,TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a,NASDAQ
NASDAQ:FLWS,FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999,NASDAQ
LSE:OPM,OPM,1PM PLC,Financial Services,Financials,19/08/2013,LSE
LSE:SPA,SPA,1SPATIAL PLC,Industrial Goods & Services,Industrials,20/09/2006,LSE
NASDAQ:FCCY,FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a,NASDAQ
NASDAQ:SRCE,SRCE,1st Source Corporation,Finance,Major Banks,n/a,NASDAQ
LSE:C21,C21,21ST CENTURY TECHNOLOGY PLC,Industrial Goods & Services,Industrials,15/04/2005,LSE
NASDAQ:VNET,VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011,NASDAQ
NASDAQ:TWOU,TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014,NASDAQ
NYSE:DDD,DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,n/a,NYSE
LSE:III,III,3I GROUP PLC,Financial Services,Financials,16/07/2007,LSE
LSE:3IN,3IN,3I INFRASTRUCTURE PLC,Financial Services,Financials,08/07/2015,LSE
NYSE:MMM,MMM,3M Company,Health Care,Medical/Dental Instruments,n/a,NYSE
LSE:DDDD,DDDD,4D PHARMA PLC,Healthcare,Health Care,18/02/2014,LSE
LSE:FOUR,FOUR,4IMPRINT GROUP PLC,Media,Consumer Services,18/12/2006,LSE
NYSE:WBAI,WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation,2013,NYSE
NASDAQ:JOBS,JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004,NASDAQ
NYSE:WUBA,WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing",2013,NYSE
LSE:SIXH,SIXH,600 GROUP PLC,Industrial Goods & Services,Industrials,16/04/1996,LSE
LSE:7DIG,7DIG,7DIGITAL GROUP PLC,Retail,Consumer Services,10/06/2014,LSE
LSE:88E,88E,88 ENERGY LIMITED,Oil & Gas,Oil & Gas,06/03/2015,LSE
LSE:888,888,888 HOLDINGS PLC,Travel & Leisure,Consumer Services,11/10/2006,LSE
NASDAQ:CAFD,CAFD,8point3 Energy Partners LP,Public Utilities,Electric Utilities: Central,2015,NASDAQ
NASDAQ:EGHT,EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,n/a,NASDAQ
NASDAQ:AVHI,AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding,n/a,NASDAQ
NASDAQ:SHLM,SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals,1972,NASDAQ
NYSE:AHC,AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,n/a,NYSE
NYSE:ATEN,ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment,2014,NYSE
LSE:AA.,AA.,AA PLC,Industrial Goods & Services,Industrials,26/06/2014,LSE
NYSE:AAC,AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities,2014,NYSE
NASDAQ:AAON,AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a,NASDAQ
NYSE:AIR,AIR,AAR Corp.,Capital Goods,Aerospace,n/a,NYSE
NYSE:AAN,AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,n/a,NYSE
LSE:ABDP,ABDP,AB DYNAMICS PLC,Industrial Goods & Services,Industrials,22/05/2013,LSE
NASDAQ:ABAX,ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,1992,NASDAQ
NYSE:ABB,ABB,ABB Ltd,Consumer Durables,Electrical Products,n/a,NYSE
LSE:ABBY,ABBY,ABBEY PLC,Personal & Household Goods,Consumer Goods,21/09/2005,LSE
NYSE:ABT,ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,n/a,NYSE
NYSE:ABBV,ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,2012,NYSE
LSE:ABC,ABC,ABCAM PLC,Healthcare,Health Care,15/11/2010,LSE
NASDAQ:ABEO,ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,NASDAQ
NASDAQ:ABEOW,ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,NASDAQ
NYSE:ANF,ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,n/a,NYSE
LSE:AAIF,AAIF,ABERDEEN ASIAN INCOME FUND LD,Financial Services,Financials,12/12/2006,LSE
LSE:AAS,AAS,ABERDEEN ASIAN SMLR CO INV TST PLC,Financial Services,Financials,12/12/2006,LSE
LSE:ADIG,ADIG,ABERDEEN DIVERSIFIED INC & GWTH TST,Financial Services,Financials,31/10/2003,LSE
LSE:AEMC,AEMC,ABERDEEN EMERG MTKS INV CO,Financial Services,Financials,10/11/2009,LSE
LSE:AFMC,AFMC,ABERDEEN FRONT MKTS INV CO LTD ,Financial Services,Financials,15/06/2007,LSE
NYSE:GCH,GCH,"Aberdeen Greater China Fund, Inc.",n/a,n/a,1992,NYSE
NYSE:JEQ,JEQ,"Aberdeen Japan Equity Fund, Inc. ",n/a,n/a,1992,NYSE
LSE:AJIT,AJIT,ABERDEEN JAPAN INV TST PLC,Financial Services,Financials,10/11/2006,LSE
LSE:ALAI,ALAI,ABERDEEN LATIN AMERICAN INC FUND LD,Financial Services,Financials,16/08/2010,LSE
LSE:ABD,ABD,ABERDEEN NEW DAWN INV TST PLC,Financial Services,Financials,03/09/2013,LSE
LSE:ANII,ANII,ABERDEEN NEW INDIA INV TRUST PLC ,Financial Services,Financials,22/12/2004,LSE
LSE:ANW,ANW,ABERDEEN NEW THAI INV TST PLC,Financial Services,Financials,21/06/2005,LSE
LSE:APEF,APEF,ABERDEEN PRIVATE EQUITY FUND LD,Financial Services,Financials,09/07/2007,LSE
NYSE:SGF,SGF,"Aberdeen Singapore Fund, Inc.",n/a,n/a,1990,NYSE
LSE:ASCI,ASCI,ABERDEEN SMALLER CO.INC.TST PLC ,Financial Services,Financials,17/09/1999,LSE
LSE:ASL,ASL,ABERFORTH SMALLER COMPANIES TST PLC,Financial Services,Financials,31/10/2003,LSE
LSE:ASIT,ASIT,ABERFORTH SPLIT LEVEL INCOME TRUST,Financial Services,Financials,03/07/2017,LSE
LSE:ASIZ,ASIZ,ABERFORTH SPLIT LEVEL INCOME TRUST,Financial Services,Financials,03/07/2017,LSE
NASDAQ:ABIL,ABIL,Ability Inc.,Finance,Business Services,2014,NASDAQ
NASDAQ:ABMD,ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,n/a,NASDAQ
NYSE:ABM,ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,n/a,NYSE
NASDAQ:AXAS,AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,n/a,NASDAQ
LSE:ABZA,ABZA,ABZENA PLC,Healthcare,Health Care,10/07/2014,LSE
NASDAQ:ACIU,ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,2016,NASDAQ
NASDAQ:ACIA,ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,2016,NASDAQ
LSE:ACA,ACA,ACACIA MINING PLC,Basic Resources,Basic Materials,19/03/2010,LSE
NASDAQ:ACTG,ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,n/a,NASDAQ
NASDAQ:ACHC,ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,n/a,NASDAQ
NASDAQ:ACAD,ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,2004,NASDAQ
NYSE:AKR,AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,n/a,NYSE
LSE:ACL,ACL,ACAL PLC,Industrial Goods & Services,Industrials,02/12/2005,LSE
NASDAQ:ACST,ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,NASDAQ
NASDAQ:AXDX,AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,NASDAQ
NASDAQ:ACCP,ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,NASDAQ
NASDAQ:XLRN,XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,NASDAQ
NYSE:ACN,ACN,Accenture plc,Miscellaneous,Business Services,2001,NYSE
LSE:ACC,ACC,ACCESS INTELLIGENCE PLC,Technology,Technology,01/12/2003,LSE
NASDAQ:ANCX,ANCX,Access National Corporation,Finance,Savings Institutions,n/a,NASDAQ
LSE:ACSO,ACSO,ACCESSO TECHNOLOGY GROUP PLC,Technology,Technology,24/04/2002,LSE
NYSE:ACCO,ACCO,Acco Brands Corporation,Consumer Durables,Publishing,n/a,NYSE
LSE:ACRL,ACRL,ACCROL GROUP HOLDINGS PLC,Personal & Household Goods,Consumer Goods,10/06/2016,LSE
LSE:AXS,AXS,ACCSYS TECHNOLOGIES PLC,Construction & Materials,Industrials,12/09/2014,LSE
NASDAQ:ARAY,ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,2007,NASDAQ
NASDAQ:ACRX,ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2011,NASDAQ
LSE:ACD,ACD,ACENCIA DEBT STRATEGIES LTD,Financial Services,Financials,24/11/2005,LSE
NASDAQ:ACET,ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,n/a,NASDAQ
NASDAQ:AKAO,AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,2014,NASDAQ
NASDAQ:ACHV,ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a,NASDAQ
NASDAQ:ACHN,ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2006,NASDAQ
LSE:ACH,ACH,ACHP PLC,Insurance,Financials,18/12/2007,LSE
NASDAQ:ACIW,ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,n/a,NASDAQ
NASDAQ:ACRS,ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,NASDAQ
NASDAQ:ACNB,ACNB,ACNB Corporation,Finance,Major Banks,n/a,NASDAQ
NASDAQ:ACOR,ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2006,NASDAQ
LSE:AIF,AIF,ACORN INCOME FUND LD,,,13/09/1999,LSE
LSE:AIFZ,AIFZ,ACORN INCOME FUND LD,,,01/02/2017,LSE
NYSE:ATV,ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores,2007,NYSE
LSE:AHCG,AHCG,ACTION HOTELS PLC,Travel & Leisure,Consumer Services,23/12/2013,LSE
NASDAQ:SQZZ,SQZZ,Active Alts Contrarian ETF,n/a,n/a,n/a,NASDAQ
LSE:AEG,AEG,ACTIVE ENERGY GROUP PLC,Oil & Gas,Oil & Gas,02/07/2007,LSE
NASDAQ:ATVI,ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,n/a,NASDAQ
NASDAQ:ACTA,ACTA,Actua Corporation,Technology,EDP Services,n/a,NASDAQ
LSE:ACT,ACT,ACTUAL EXPERIENCE PLC,Technology,Technology,13/02/2014,LSE
NYSE:ATU,ATU,Actuant Corporation,Technology,Industrial Machinery/Components,n/a,NYSE
NYSE:AYI,AYI,Acuity Brands Inc,Consumer Durables,Building Products,n/a,NYSE
NYSE:GOLF,GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,Recreational Products/Toys,2016,NYSE
NASDAQ:ACXM,ACXM,Acxiom Corporation,Technology,EDP Services,n/a,NASDAQ
LSE:ADAM,ADAM,ADAMAS FINANCE ASIA LD,Financial Services,Financials,15/07/2014,LSE
NASDAQ:ADMS,ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,NASDAQ
NASDAQ:ADMP,ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,n/a,NASDAQ
NYSE:ADX,ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a,n/a,NYSE
NYSE:PEO,PEO,"Adams Natural Resources Fund, Inc.",n/a,n/a,n/a,NYSE
LSE:ADA,ADA,ADAMS PLC,Real Estate,Financials,12/03/2013,LSE
NASDAQ:ADAP,ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015,NASDAQ
NASDAQ:ADUS,ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,2009,NASDAQ
NASDAQ:AEY,AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,n/a,NASDAQ
NYSE:AGRO,AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,2011,NYSE
LSE:ADT,ADT,ADEPT TELECOM PLC,Telecommunications,Telecommunications,19/09/2006,LSE
LSE:AD4,AD4,ADEPT4  PLC,Technology,Technology,02/04/2013,LSE
LSE:ADES,ADES,ADES INTERNATIONAL HOLDING LTD,Oil & Gas,Oil & Gas,12/05/2017,LSE
NASDAQ:IOTS,IOTS,Adesto Technologies Corporation,Technology,Semiconductors,2015,NASDAQ
NYSE:ADNT,ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.,2016,NYSE
NASDAQ:ADMA,ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,NASDAQ
LSE:ADM,ADM,ADMIRAL GROUP PLC,Insurance,Financials,20/12/2004,LSE
NASDAQ:ADBE,ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,1986,NASDAQ
NASDAQ:ADOM,ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.,2017,NASDAQ
NYSE:ATGE,ATGE,Adtalem Global Education Inc.,Consumer Services,Other Consumer Services,n/a,NYSE
NASDAQ:ADTN,ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,1994,NASDAQ
NASDAQ:ADRO,ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,2015,NASDAQ
NYSE:AAP,AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,n/a,NYSE
NASDAQ:AAAP,AAAP,Advanced Accelerator Applications S.A.,Health Care,Major Pharmaceuticals,2015,NASDAQ
NYSE:ADSW,ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services,2016,NYSE
NYSE:WMS,WMS,"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging,2014,NYSE
NASDAQ:ADES,ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,n/a,NASDAQ
NASDAQ:AEIS,AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,1995,NASDAQ
LSE:AMS,AMS,ADVANCED MEDICAL SOLUTIONS GRP PLC,Healthcare,Health Care,30/04/2002,LSE
NASDAQ:AMD,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,n/a,NASDAQ
LSE:AVO,AVO,ADVANCED ONCOTHERAPY PLC,Healthcare,Health Care,01/07/2016,LSE
NYSE:ASX,ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors,n/a,NYSE
NYSE:ASIX,ASIX,AdvanSix Inc.,Basic Industries,Major Chemicals,2016,NYSE
NYSE:AAV,AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas Production,n/a,NYSE
NASDAQ:ADXS,ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,n/a,NASDAQ
NASDAQ:ADXSW,ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,n/a,NASDAQ
NYSE:AVK,AVK,Advent Claymore Convertible Securities and Income Fund,n/a,n/a,2003,NYSE
NYSE:AGC,AGC,Advent Claymore Convertible Securities and Income Fund II,n/a,n/a,2007,NYSE
NYSE:LCM,LCM,Advent/Claymore Enhanced Growth & Income Fund,n/a,n/a,2005,NYSE
NASDAQ:ADVM,ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014,NASDAQ
LSE:AFN,AFN,ADVFN PLC,Financial Services,Financials,21/08/2014,LSE
LSE:87FZ,87FZ,AECI LD,Chemicals,Basic Materials,28/06/2002,LSE
NYSE:ACM,ACM,AECOM,Consumer Services,Military/Government/Technical,2007,NYSE
NYSE:ANW,ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing,2006,NYSE
NASDAQ:AEGN,AEGN,Aegion Corp,Basic Industries,Water Supply,n/a,NASDAQ
NASDAQ:AGLE,AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,2016,NASDAQ
NYSE:AEB,AEB,Aegon NV,Finance,Life Insurance,n/a,NYSE
NYSE:AED,AED,Aegon NV,Finance,Life Insurance,n/a,NYSE
NYSE:AEG,AEG,Aegon NV,Finance,Life Insurance,n/a,NYSE
NYSE:AEH,AEH,Aegon NV,Finance,Life Insurance,n/a,NYSE
NYSE:AEK,AEK,Aegon NV,Finance,Life Insurance,n/a,NYSE
NASDAQ:AEHR,AEHR,Aehr Test Systems,Capital Goods,Electrical Products,1997,NASDAQ
NASDAQ:AMTX,AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,n/a,NASDAQ
LSE:AEO,AEO,AEOREMA COMMUNICATIONS PLC,Media,Consumer Services,29/06/2009,LSE
NYSE:AER,AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,2006,NYSE
NASDAQ:AERI,AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,NASDAQ
NYSE:HIVE,HIVE,"Aerohive Networks, Inc.",Technology,EDP Services,2014,NYSE
NYSE:AJRD,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical,n/a,NYSE
NASDAQ:AVAV,AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,2007,NASDAQ
NASDAQ:AEZS,AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,n/a,NASDAQ
NASDAQ:AEMD,AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,NASDAQ
NYSE:AET,AET,Aetna Inc.,Health Care,Medical Specialities,n/a,NYSE
NASDAQ:GNMX,GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,NASDAQ
LSE:AEWL,AEWL,AEW UK LONG LEASE REIT PLC,Real Estate,Financials,06/06/2017,LSE
LSE:AEWU,AEWU,AEW UK REIT PLC,Real Estate,Financials,12/05/2015,LSE
LSE:AFRK,AFRK,AFARAK GROUP PLC,Basic Resources,Basic Materials,26/07/2010,LSE
LSE:AFC,AFC,AFC ENERGY PLC,Oil & Gas,Oil & Gas,24/04/2007,LSE
NYSE:AMG,AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,n/a,NYSE
NASDAQ:AFMD,AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,2014,NASDAQ
LSE:AFHP,AFHP,AFH FINANCIAL GROUP PLC,Financial Services,Financials,30/06/2014,LSE
LSE:AFRB,AFRB,AFI DEVELOPMENT PLC,Real Estate,Financials,05/07/2010,LSE
NYSE:AFL,AFL,Aflac Incorporated,Finance,Accident &Health Insurance,n/a,NYSE
NYSE:AFSD,AFSD,Aflac Incorporated,Finance,Accident &Health Insurance,n/a,NYSE
LSE:AOF,AOF,AFRICA OPPORTUNITY FUND LD,Financial Services,Financials,24/07/2007,LSE
NYSE:MITT,MITT,"AG Mortgage Investment Trust, Inc.",n/a,n/a,2011,NYSE
NYSE:MITT^A,MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a,NYSE
NYSE:MITT^B,MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a,NYSE
NYSE:AGCO,AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,n/a,NYSE
NASDAQ:AGEN,AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2000,NASDAQ
LSE:AMPH,AMPH,AGGREGATED MICRO POWER HOLDINGS PLC,Utilities,Utilities,18/07/2014,LSE
LSE:AGK,AGK,AGGREKO PLC,Industrial Goods & Services,Industrials,28/05/2014,LSE
NASDAQ:AGRX,AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,NASDAQ
NYSE:A,A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,1999,NYSE
NASDAQ:AGYS,AGYS,"Agilysys, Inc.",Technology,EDP Services,n/a,NASDAQ
NASDAQ:AGIO,AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2013,NASDAQ
NASDAQ:AGNC,AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,2008,NASDAQ
NASDAQ:AGNCB,AGNCB,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,n/a,NASDAQ
NASDAQ:AGNCN,AGNCN,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,n/a,NASDAQ
NYSE:AEM,AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,n/a,NYSE
NYSE:ADC,ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,n/a,NYSE
LSE:AGTA,AGTA,AGRITERRA LD,Food & Beverage,Consumer Goods,13/12/2005,LSE
NYSE:AGU,AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals,n/a,NYSE
NASDAQ:AGFS,AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services,2014,NASDAQ
NASDAQ:AGFSW,AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services,2014,NASDAQ
NASDAQ:ALRN,ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017,NASDAQ
NASDAQ:AIMT,AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,NASDAQ
LSE:AIRC,AIRC,AIR CHINA LD,Travel & Leisure,Consumer Services,17/10/2007,LSE
NYSE:AL,AL,Air Lease Corporation,Technology,Diversified Commercial Services,2011,NYSE
LSE:AIR,AIR,AIR PARTNER PLC,Travel & Leisure,Consumer Services,31/01/2017,LSE
NYSE:APD,APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals,n/a,NYSE
NASDAQ:AIRT,AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services,n/a,NASDAQ
NASDAQ:ATSG,ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,n/a,NASDAQ
NYSE:AYR,AYR,Aircastle Limited,Technology,Diversified Commercial Services,2006,NYSE
LSE:AIEA,AIEA,AIREA PLC,Personal & Household Goods,Consumer Goods,21/12/2005,LSE
NASDAQ:AIRG,AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,2016,NASDAQ
NASDAQ:AMCN,AMCN,AirMedia Group Inc,Technology,Advertising,2007,NASDAQ
NYSE:AKS,AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,n/a,NYSE
NASDAQ:AKAM,AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,1999,NASDAQ
NASDAQ:AKTX,AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals,n/a,NASDAQ
NASDAQ:AKCA,AKCA,"Akcea Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017,NASDAQ
NASDAQ:AKBA,AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,NASDAQ
NASDAQ:AKER,AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,2014,NASDAQ
LSE:AKR,AKR,"AKERS BIOSCIENCES, INC",Healthcare,Health Care,22/11/2013,LSE
NASDAQ:AKRX,AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals,n/a,NASDAQ
NASDAQ:AKTS,AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment,n/a,NASDAQ
NYSE:ALP^O.CL,ALP^O.CL,Alabama Power Company,n/a,n/a,n/a,NYSE
NYSE:ALP^Q,ALP^Q,Alabama Power Company,n/a,n/a,n/a,NYSE
NYSE:ALG,ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,n/a,NYSE
NYSE:AGI,AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,2015,NYSE
NASDAQ:ALRM,ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software,2015,NASDAQ
NYSE:ALK,ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,n/a,NYSE
NASDAQ:ALSK,ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,1999,NASDAQ
LSE:ALBA,ALBA,ALBA MINERAL RESOURCES PLC,Basic Resources,Basic Materials,04/04/2005,LSE
NYSE:AIN,AIN,Albany International Corporation,Basic Industries,Textiles,n/a,NYSE
NYSE:ALB,ALB,Albemarle Corporation,Basic Industries,Major Chemicals,n/a,NYSE
LSE:ALB,ALB,ALBERT TECHNOLOGIES LTD,Media,Consumer Services,11/06/2015,LSE
LSE:AADV,AADV,ALBION DEVELOPMENT VCT PLC,Financial Services,Financials,27/01/1999,LSE
LSE:AAEV,AAEV,ALBION ENTERPRISE VCT PLC,Financial Services,Financials,10/04/2007,LSE
LSE:AATG,AATG,ALBION TECHNOLOGY & GENERAL VCT PLC,Financial Services,Financials,17/01/2001,LSE
LSE:AAVC,AAVC,ALBION VENTURE CAPITAL TST PLC,Financial Services,Financials,14/09/1999,LSE
NASDAQ:ALBO,ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,NASDAQ
NASDAQ:ABDC,ABDC,Alcentra Capital Corp.,n/a,n/a,n/a,NASDAQ
LSE:AEFS,AEFS,ALCENTRA EUROPEAN FLTG RTE INC FD ,Financial Services,Financials,06/03/2012,LSE
NYSE:AA,AA,Alcoa Corporation,Basic Industries,Aluminum,2016,NYSE
NASDAQ:ADHD,ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals,2013,NASDAQ
NASDAQ:ALDR,ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,NASDAQ
LSE:ALD,ALD,ALDERMORE GROUP PLC,Banks,Financials,13/03/2015,LSE
NASDAQ:ALDX,ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014,NASDAQ
NYSE:ALR,ALR,Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a,NYSE
NYSE:ALR^B,ALR^B,Alere Inc.,n/a,n/a,n/a,NYSE
NYSE:ALEX,ALEX,"Alexander & Baldwin Holdings, Inc.",Finance,Real Estate,n/a,NYSE
LSE:AXM,AXM,ALEXANDER MINING PLC,Basic Resources,Basic Materials,04/04/2005,LSE
NYSE:ALX,ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,n/a,NYSE
NYSE:ARE,ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts,n/a,NYSE
NYSE:ARE^D,ARE^D,"Alexandria Real Estate Equities, Inc.",n/a,n/a,n/a,NYSE
NASDAQ:ALXN,ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,1996,NASDAQ
